1000	132
2000	238
3000	369
4000	506
5000	647
6000	1319
7000	989
8000	1077
9000	1251
10000	1355
11000	1880
12000	1719
13000	1909
14000	2117
15000	2185
16000	2800
17000	2554
18000	3123
19000	2826
20000	3364
21000	3112
22000	3430
23000	3902
24000	3962
25000	3951
26000	4055
27000	4394
28000	4382
29000	4579
30000	4870
31000	4974
32000	5058
33000	5100
34000	5374
35000	5911
36000	6020
37000	6143
38000	6536
39000	6292
40000	6424
41000	6469
42000	6596
43000	6790
44000	7191
45000	7162
46000	7486
47000	7642
48000	7665
49000	8421
50000	8515
51000	8200
52000	8486
53000	8902
54000	8870
55000	9236
56000	9264
57000	9594
58000	9352
59000	9768
60000	10029
61000	10097
62000	10338
63000	10613
64000	10557
65000	10494
66000	11550
67000	11502
68000	11940
69000	11689
70000	11691
71000	12219
72000	11988
73000	12161
74000	12953
75000	12493
76000	12801
77000	12826
78000	13359
79000	13353
80000	13908
81000	14098
82000	13707
83000	14471
84000	14177
85000	14725
86000	14453
87000	14790
88000	15322
89000	15378
90000	15507
91000	15427
92000	16123
93000	15877
94000	15873
95000	16622
96000	16998
97000	16834
98000	17045
99000	17278
100000	17147
