1 516621
2 336983
3 256003
4 202873
5 169491
6 145358
7 129816
8 113175
9 103504
10 93554
11 85355
12 78927
13 73428
14 68616
15 64471
16 61256
17 57484
18 55605
19 52804
20 50433
21 48651
22 45184
23 45467
24 43021
25 41073
26 39180
27 37558
28 36330
29 35465
30 38609
31 34104
32 32917
33 31849
34 31085
35 30066
36 29557
37 28058
38 27685
39 26820
40 26484
41 26386
42 26205
43 25284
44 24696
45 24318
46 23849
47 22895
48 22903
49 22527
50 22032
51 21843
52 21524
53 21136
54 20619
55 20368
56 20437
57 19673
58 19259
59 19007
60 18506
61 18510
62 18263
63 18094
64 17856
65 17578
66 17352
67 17120
68 16861
69 16705
70 16655
71 16079
72 15931
73 15488
74 15318
75 15824
76 14900
77 14862
78 14623
79 14688
80 14478
81 14213
82 14168
83 14588
84 14088
85 14781
86 13614
87 13758
88 13294
89 13165
90 13128
91 13088
92 12867
93 12748
94 12666
95 12956
96 12727
97 12727
98 12648
99 12306
100 12647
