1,517630
2,336688
3,253988
4,203128
5,169164
6,145210
7,128519
8,113280
9,102481
10,93452
11,85034
12,78153
13,73412
14,68490
15,64343
16,60808
17,57717
18,55544
19,52277
20,50866
21,49588
22,45135
23,44392
24,42711
25,41998
26,39470
27,38135
28,36390
29,36974
30,38115
31,33774
32,32882
33,32282
34,31088
35,30515
36,29616
37,28654
38,27447
39,27073
40,26292
41,25866
42,26410
43,25225
44,24831
45,24290
46,23769
47,22787
48,23014
49,22877
50,22020
51,21932
52,21555
53,21006
54,20690
55,20403
56,20095
57,19661
58,18943
59,18750
60,18429
61,18525
62,18233
63,18859
64,17884
65,17543
66,17610
67,17117
68,16842
69,16686
70,16410
71,15926
72,15689
73,15672
74,15318
75,15817
76,15045
77,14868
78,14789
79,14593
80,14310
81,14188
82,14580
83,14424
84,14015
85,14140
86,13596
87,13964
88,13265
89,13242
90,13127
91,13028
92,12717
93,12711
94,12570
95,12831
96,12734
97,12767
98,12513
99,12096
100,12232
