500000,75006,mus,std_sort
500000,913225,mus,multi_sort
1000000,157498,mus,std_sort
1000000,1.82252e+006,mus,multi_sort
1500000,247139,mus,std_sort
1500000,3.08566e+006,mus,multi_sort
2000000,357397,mus,std_sort
2000000,4.05278e+006,mus,multi_sort
2500000,413549,mus,std_sort
2500000,5.04812e+006,mus,multi_sort
3000000,469098,mus,std_sort
3000000,5.95799e+006,mus,multi_sort
3500000,594925,mus,std_sort
3500000,7.11822e+006,mus,multi_sort
4000000,684937,mus,std_sort
4000000,8.15521e+006,mus,multi_sort
4500000,795824,mus,std_sort
4500000,9.20858e+006,mus,multi_sort
5000000,868625,mus,std_sort
5000000,1.02144e+007,mus,multi_sort
5500000,978320,mus,std_sort
5500000,1.20736e+007,mus,multi_sort
6000000,1.09313e+006,mus,std_sort
6000000,1.35992e+007,mus,multi_sort
6500000,1.15311e+006,mus,std_sort
6500000,1.46214e+007,mus,multi_sort
7000000,1.25654e+006,mus,std_sort
7000000,1.58451e+007,mus,multi_sort
7500000,1.33633e+006,mus,std_sort
7500000,1.69154e+007,mus,multi_sort
8000000,1.4621e+006,mus,std_sort
8000000,1.8352e+007,mus,multi_sort
8500000,1.51617e+006,mus,std_sort
8500000,1.90389e+007,mus,multi_sort
9000000,1.63987e+006,mus,std_sort
9000000,2.06401e+007,mus,multi_sort
9500000,1.75158e+006,mus,std_sort
9500000,2.1575e+007,mus,multi_sort
10000000,1.84486e+006,mus,std_sort
10000000,2.268e+007,mus,multi_sort
