1000,122
2000,255
3000,396
4000,540
5000,687
6000,839
7000,981
8000,1161
9000,1304
10000,1507
11000,1610
12000,1757
13000,1909
14000,2177
15000,2247
16000,2403
17000,2569
18000,2930
19000,2949
20000,3069
21000,3286
22000,3404
23000,3654
24000,3706
25000,3926
26000,4454
27000,4221
28000,4507
29000,4550
30000,4823
31000,5011
32000,5415
33000,5392
34000,5464
35000,5647
36000,5801
37000,5940
38000,6149
39000,6290
40000,6435
41000,6680
42000,6807
43000,7048
44000,7337
45000,7337
46000,7597
47000,7751
48000,7919
49000,8051
50000,8106
51000,8519
52000,8566
53000,8899
54000,8638
55000,8835
56000,9401
57000,9583
58000,9615
59000,10385
60000,9919
61000,9984
62000,10411
63000,10525
64000,10589
65000,12582
66000,11184
67000,11516
68000,11859
69000,11527
70000,11626
71000,11667
72000,11842
73000,12138
74000,12461
75000,12871
76000,12815
77000,12891
78000,12971
79000,13337
80000,13372
81000,13590
82000,13761
83000,14228
84000,13989
85000,14042
86000,14746
87000,14628
88000,15037
89000,15240
90000,15128
91000,15177
92000,16034
93000,16058
94000,15822
95000,17346
96000,16492
97000,16375
98000,16591
99000,16685
100000,17670
