1000,50
2000,104
3000,163
4000,227
5000,291
6000,357
7000,419
8000,492
9000,558
10000,622
11000,690
12000,757
13000,827
14000,895
15000,990
16000,1219
17000,1113
18000,1186
19000,1262
20000,1327
21000,1395
22000,1473
23000,1545
24000,1615
25000,1689
26000,1765
27000,1833
28000,1919
29000,1985
30000,2093
31000,2139
32000,2371
33000,2285
34000,2388
35000,2537
36000,2639
37000,2627
38000,2696
39000,2845
40000,2931
41000,2963
42000,3007
43000,3063
44000,3146
45000,3318
46000,3283
47000,3361
48000,3589
49000,3496
50000,3477
51000,3675
52000,4349
53000,3905
54000,4027
55000,4107
56000,4188
57000,4124
58000,4108
59000,4326
60000,4401
61000,4366
62000,4685
63000,4661
64000,4641
65000,4877
66000,4776
67000,4860
68000,4989
69000,5139
70000,5268
71000,5205
72000,5264
73000,5330
74000,5532
75000,5637
76000,5675
77000,5615
78000,5710
79000,5844
80000,6028
81000,5982
82000,6068
83000,6039
84000,6323
85000,6255
86000,6829
87000,6440
88000,6720
89000,6801
90000,6670
91000,6728
92000,6906
93000,7068
94000,6969
95000,7997
96000,7279
97000,7215
98000,7271
99000,7290
100000,7922
