500000,73923,mus,std_sort
500000,88310,mus,mixed_sort
1000000,158712,mus,std_sort
1000000,185319,mus,mixed_sort
1500000,242409,mus,std_sort
1500000,289343,mus,mixed_sort
2000000,329735,mus,std_sort
2000000,389828,mus,mixed_sort
2500000,420391,mus,std_sort
2500000,501111,mus,mixed_sort
3000000,476466,mus,std_sort
3000000,547893,mus,mixed_sort
3500000,600459,mus,std_sort
3500000,706271,mus,mixed_sort
4000000,685651,mus,std_sort
4000000,807779,mus,mixed_sort
4500000,781890,mus,std_sort
4500000,931748,mus,mixed_sort
5000000,872244,mus,std_sort
5000000,1.031e+006,mus,mixed_sort
5500000,969609,mus,std_sort
5500000,1.13066e+006,mus,mixed_sort
6000000,1.05336e+006,mus,std_sort
6000000,1.24551e+006,mus,mixed_sort
6500000,1.18024e+006,mus,std_sort
6500000,1.35176e+006,mus,mixed_sort
7000000,1.25476e+006,mus,std_sort
7000000,1.47099e+006,mus,mixed_sort
7500000,1.37124e+006,mus,std_sort
7500000,1.585e+006,mus,mixed_sort
8000000,1.43562e+006,mus,std_sort
8000000,1.6857e+006,mus,mixed_sort
8500000,1.51305e+006,mus,std_sort
8500000,1.79382e+006,mus,mixed_sort
9000000,1.64013e+006,mus,std_sort
9000000,1.9244e+006,mus,mixed_sort
9500000,1.72537e+006,mus,std_sort
9500000,2.03325e+006,mus,mixed_sort
10000000,1.82899e+006,mus,std_sort
10000000,2.14434e+006,mus,mixed_sort
