1000 52
2000 102
3000 160
4000 234
5000 290
6000 366
7000 418
8000 473
9000 556
10000 711
11000 720
12000 764
13000 836
14000 900
15000 983
16000 1091
17000 1117
18000 1158
19000 1229
20000 1339
21000 1412
22000 1440
23000 1583
24000 1578
25000 1643
26000 1762
27000 1968
28000 1917
29000 1983
30000 2045
31000 2142
32000 2221
33000 2298
34000 2376
35000 2431
36000 2537
37000 2534
38000 2623
39000 2734
40000 2766
41000 2905
42000 2991
43000 3000
44000 3063
45000 3222
46000 3304
47000 3284
48000 3459
49000 3463
50000 3598
51000 3591
52000 3678
53000 3854
54000 3890
55000 4146
56000 3994
57000 4020
58000 4237
59000 4344
60000 4270
61000 4484
62000 4558
63000 4846
64000 4588
65000 4805
66000 4720
67000 4813
68000 5047
69000 4900
70000 5220
71000 5327
72000 5315
73000 5371
74000 5538
75000 5636
76000 5733
77000 5687
78000 5762
79000 5854
80000 5954
81000 6058
82000 6167
83000 6028
84000 6224
85000 6357
86000 6538
87000 6627
88000 7177
89000 6773
90000 6700
91000 6906
92000 7026
93000 6929
94000 6959
95000 7150
96000 7160
97000 7310
98000 7461
99000 7382
100000 7478
