1000	111
2000	238
3000	476
4000	521
5000	668
6000	805
7000	957
8000	1103
9000	1256
10000	1468
11000	1765
12000	1711
13000	1863
14000	2098
15000	2224
16000	2487
17000	2503
18000	2872
19000	2806
20000	2957
21000	3186
22000	3310
23000	3476
24000	3626
25000	3900
26000	3976
27000	4152
28000	4287
29000	4468
30000	4631
31000	4752
32000	4983
33000	5239
34000	5659
35000	5809
36000	6203
37000	6544
38000	5934
39000	6217
40000	6272
41000	6550
42000	6619
43000	7217
44000	7009
45000	7148
46000	7740
47000	7510
48000	7610
49000	7855
50000	8024
51000	8137
52000	8399
53000	8485
54000	8688
55000	8955
56000	8972
57000	9805
58000	9452
59000	9546
60000	9747
61000	9825
62000	10076
63000	10327
64000	10564
65000	10551
66000	10830
67000	10989
68000	11200
69000	11238
70000	12173
71000	11544
72000	12020
73000	12088
74000	12182
75000	12554
76000	12518
77000	12742
78000	12786
79000	13071
80000	13710
81000	13623
82000	13929
83000	14430
84000	14319
85000	14355
86000	14065
87000	14661
88000	14585
89000	14754
90000	15181
91000	15206
92000	15273
93000	15631
94000	15684
95000	15557
96000	15478
97000	16270
98000	16048
99000	16047
100000	16218
