1000 1215
2000 5182
3000 11441
4000 22511
5000 31683
6000 45396
7000 61177
8000 80164
9000 102023
10000 125767
11000 159309
12000 181781
13000 214996
14000 246370
15000 283179
16000 320753
17000 366240
18000 403703
19000 454051
20000 508473
21000 552458
22000 608390
23000 661807
24000 719714
25000 777391
26000 847981
27000 906348
28000 988390
29000 1.05E+06
30000 1.11E+06
31000 1.18E+06
32000 1.29E+06
33000 1.37E+06
34000 1.48E+06
35000 1.52E+06
36000 1.62E+06
37000 1.70E+06
38000 1.79E+06
39000 1.87E+06
40000 2.00E+06
41000 2.09E+06
42000 2.18E+06
43000 2.30E+06
44000 2.40E+06
45000 2.53E+06
46000 2.68E+06
47000 2.74E+06
48000 2.85E+06
49000 2.99E+06
50000 3.15E+06
51000 3.26E+06
52000 3.35E+06
53000 3.51E+06
54000 3.60E+06
55000 3.73E+06
56000 3.89E+06
57000 4.04E+06
58000 4.24E+06
59000 4.35E+06
60000 4.54E+06
61000 4.65E+06
62000 4.81E+06
63000 4.95E+06
64000 5.10E+06
65000 5.34E+06
66000 5.41E+06
67000 5.55E+06
68000 5.75E+06
69000 5.95E+06
70000 6.04E+06
71000 6.28E+06
72000 6.54E+06
73000 6.62E+06
74000 6.80E+06
75000 7.06E+06
76000 7.19E+06
77000 7.45E+06
78000 7.56E+06
79000 7.73E+06
80000 7.96E+06
81000 8.17E+06
82000 8.37E+06
83000 8.61E+06
84000 8.79E+06
85000 9.03E+06
86000 9.20E+06
87000 9.44E+06
88000 9.66E+06
89000 9.84E+06
90000 1.01E+07
91000 1.03E+07
92000 1.06E+07
93000 1.08E+07
94000 1.11E+07
95000 1.12E+07
96000 1.15E+07
97000 1.17E+07
98000 1.20E+07
99000 1.22E+07
100000 1.25E+07
