1000 51
2000 105
3000 160
4000 220
5000 341
6000 344
7000 626
8000 512
9000 556
10000 627
11000 692
12000 759
13000 828
14000 901
15000 966
16000 1043
17000 1130
18000 1192
19000 1280
20000 1367
21000 1451
22000 1490
23000 1524
24000 1688
25000 1688
26000 1773
27000 1848
28000 1929
29000 1990
30000 2079
31000 2142
32000 2266
33000 2299
34000 2305
35000 2508
36000 2546
37000 2617
38000 2690
39000 2768
40000 2847
41000 2928
42000 2996
43000 3092
44000 3178
45000 3218
46000 3317
47000 3397
48000 3451
49000 3405
50000 3490
51000 3686
52000 3764
53000 3745
54000 3882
55000 3941
56000 4086
57000 4133
58000 4403
59000 4326
60000 5432
61000 4512
62000 4595
63000 4519
64000 5175
65000 4781
66000 5104
67000 4996
68000 5091
69000 5220
70000 5224
71000 5309
72000 5375
73000 5653
74000 5621
75000 5814
76000 5802
77000 5898
78000 5979
79000 5840
80000 5929
81000 5939
82000 6083
83000 6220
84000 6370
85000 6809
86000 7503
87000 6609
88000 7005
89000 6719
90000 6857
91000 6751
92000 6911
93000 6780
94000 6974
95000 7156
96000 7253
97000 7275
98000 7276
99000 7437
100000 7448
