1000,3
2000,6
3000,9
4000,13
5000,16
6000,19
7000,23
8000,26
9000,30
10000,34
11000,37
12000,41
13000,43
14000,47
15000,51
16000,54
17000,74
18000,60
19000,64
20000,68
21000,71
22000,72
23000,76
24000,79
25000,85
26000,88
27000,91
28000,94
29000,98
30000,105
31000,105
32000,108
33000,110
34000,112
35000,119
36000,122
37000,125
38000,128
39000,132
40000,136
41000,139
42000,145
43000,146
44000,149
45000,152
46000,155
47000,159
48000,162
49000,161
50000,165
51000,168
52000,206
53000,175
54000,178
55000,181
56000,184
57000,194
58000,191
59000,200
60000,198
61000,207
62000,210
63000,208
64000,414
65000,221
66000,223
67000,228
68000,232
69000,235
70000,239
71000,242
72000,251
73000,250
74000,253
75000,263
76000,259
77000,265
78000,266
79000,263
80000,330
81000,275
82000,278
83000,277
84000,284
85000,283
86000,286
87000,297
88000,297
89000,303
90000,298
91000,294
92000,306
93000,300
94000,313
95000,315
96000,319
97000,322
98000,326
99000,329
100000,339
