1000 1145
2000 4545
3000 10360
4000 18508
5000 28693
6000 41079
7000 56190
8000 73747
9000 92533
10000 114245
11000 141993
12000 166475
13000 192722
14000 225718
15000 258386
16000 296195
17000 345823
18000 373832
19000 416407
20000 459177
21000 519517
22000 557046
23000 604464
24000 661034
25000 713384
26000 781544
27000 843801
28000 919284
29000 971774
30000 1.05E+06
31000 1.11E+06
32000 1.22E+06
